name,description,category,price,stock_quantity,weight,brand,tags,sku,barcode,is_active,track_stock,low_stock_threshold,meta_title,meta_description,slug
تی‌شرت مردانه ساده,تی‌شرت پنبه‌ای با کیفیت بالا مناسب برای استفاده روزانه,پوشاک مردانه,45000,100,0.2,برند آریا,"تی‌شرت,مردانه,پنبه,ساده",TSH-001,1234567890123,TRUE,TRUE,10,تی‌شرت مردانه ساده - خرید آنلاین,بهترین تی‌شرت مردانه پنبه‌ای با قیمت مناسب,tshirt-mardane-sade
شلوار جین مردانه,شلوار جین مردانه مدرن و شیک,پوشاک مردانه,85000,50,0.8,دنیم پلاس,"شلوار,جین,مردانه",JNS-002,1234567890124,TRUE,TRUE,5,شلوار جین مردانه مدرن,شلوار جین مردانه با پارچه مرغوب و طراحی مدرن,shalvar-jean-mardane
کفش ورزشی مردانه,کفش ورزشی راحت و سبک,کفش مردانه,120000,30,0.5,اسپرت برند,"کفش,ورزشی,مردانه",SHO-003,1234567890125,TRUE,TRUE,3,کفش ورزشی مردانه راحت,کفش ورزشی مردانه با کیفیت بالا و قیمت مناسب,kafsh-varzeshi-mardane
مانتو زنانه مجلسی,مانتو زنانه شیک برای مجالس,پوشاک زنانه,150000,25,0.6,مدیسا,"مانتو,زنانه,مجلسی",MNT-004,1234567890126,TRUE,TRUE,2,مانتو زنانه مجلسی شیک,مانتو زنانه مجلسی با طراحی منحصر به فرد,manto-zanane-majlesi
کیف دستی زنانه,کیف دستی چرمی زنانه,کیف و کوله,95000,40,0.3,چرم ایران,"کیف,زنانه,چرمی",BAG-005,1234567890127,TRUE,TRUE,5,کیف دستی زنانه چرمی,کیف دستی زنانه چرمی اصل با قیمت مناسب,kif-dasti-zanane
ساعت مچی مردانه,ساعت مچی اسپرت مردانه,ساعت و جواهرات,250000,15,0.1,تایم کلاسیک,"ساعت,مردانه,اسپرت",WTC-006,1234567890128,TRUE,TRUE,2,ساعت مچی مردانه اسپرت,ساعت مچی مردانه اسپرت با کیفیت عالی,saat-mochi-mardane
گوشی موبایل سامسونگ,گوشی هوشمند سامسونگ گلکسی,موبایل و لوازم جانبی,8500000,10,0.2,سامسونگ,"گوشی,موبایل,سامسونگ",MOB-007,1234567890129,TRUE,TRUE,1,گوشی موبایل سامسونگ گلکسی,گوشی هوشمند سامسونگ با امکانات پیشرفته,goshi-mobile-samsung
لپ‌تاپ ایسوس,لپ‌تاپ گیمینگ ایسوس,کامپیوتر و لپ‌تاپ,15000000,5,2.5,ایسوس,"لپ‌تاپ,گیمینگ,ایسوس",LAP-008,1234567890130,TRUE,TRUE,1,لپ‌تاپ گیمینگ ایسوس,لپ‌تاپ گیمینگ ایسوس با مشخصات بالا,laptop-gaming-asus
هدفون بی‌سیم,هدفون بلوتوثی با کیفیت صدای عالی,لوازم الکترونیکی,350000,20,0.3,سونی,"هدفون,بی‌سیم,بلوتوث",HDP-009,1234567890131,TRUE,TRUE,3,هدفون بی‌سیم سونی,هدفون بلوتوثی سونی با کیفیت صدای فوق‌العاده,headphone-bisim-sony
میز تحریر چوبی,میز تحریر چوبی مدرن,مبلمان اداری,850000,8,25,چوب ایده‌آل,"میز,تحریر,چوبی",DSK-010,1234567890132,TRUE,TRUE,1,میز تحریر چوبی مدرن,میز تحریر چوبی با طراحی مدرن و کیفیت بالا,miz-tahrir-chobi
کتاب آموزش برنامه‌نویسی,کتاب جامع آموزش پایتون,کتاب و نشریات,65000,50,0.5,انتشارات فنی,"کتاب,برنامه‌نویسی,پایتون",BOK-011,1234567890133,TRUE,TRUE,5,کتاب آموزش برنامه‌نویسی پایتون,کتاب جامع آموزش برنامه‌نویسی پایتون برای مبتدیان,ketab-amoozesh-python
دوچرخه کوهستان,دوچرخه کوهستان حرفه‌ای,ورزش و تفریح,3500000,6,18,جاینت,"دوچرخه,کوهستان,ورزشی",BIK-012,1234567890134,TRUE,TRUE,1,دوچرخه کوهستان حرفه‌ای,دوچرخه کوهستان جاینت با تجهیزات حرفه‌ای,docharkheh-koohestan
عطر مردانه,عطر مردانه با رایحه خاص,آرایشی و بهداشتی,180000,30,0.1,دیور,"عطر,مردانه,ادکلن",PRF-013,1234567890135,TRUE,TRUE,3,عطر مردانه دیور,عطر مردانه دیور با رایحه جذاب و ماندگار,atr-mardane-dior
قابلمه استیل,سرویس قابلمه استیل ضدخش,آشپزخانه و خانه,450000,15,2.8,برگهف,"قابلمه,استیل,آشپزخانه",POT-014,1234567890136,TRUE,TRUE,2,سرویس قابلمه استیل برگهف,سرویس قابلمه استیل با کیفیت بالا و ضمانت,ghablemeh-steel-berghoff
اسباب‌بازی کودک,ماشین کنترلی کودک,اسباب‌بازی,95000,25,0.8,لگو,"اسباب‌بازی,کودک,ماشین",TOY-015,1234567890137,TRUE,TRUE,3,اسباب‌بازی ماشین کنترلی,ماشین کنترلی لگو برای کودکان بالای ۳ سال,asbaab-baazi-mashin-kontrli